HOLEID,TCU
17001619,0.128
17001620,0.174
17001621,0.153
17001622,0.179
17001623,0.206
17001628,0.198
17001629,0.175
17001630,0.135
17001631,0.137
17001632,0.131
17001633,0.19
17001539,0.098
17001540,0.094
17001541,0.11
17001542,0.108
17001549,0.109
17001550,0.073
17001551,0.079
17001552,0.119
17001571,0.11
17001572,0.085
17001573,0.101
17001574,0.12
17001581,0.117
17001582,0.094
17001583,0.096
17001584,0.133
17001594,0.199
17001603,0.155
17001604,0.143
17001605,0.084
17001606,0.104
17001613,0.125
17001614,0.102
17001615,0.151
17001616,0.134
17001624,0.162
17001625,0.157
17001626,0.216
17001627,0.207
17001634,0.146
17001635,0.134
17001636,0.115
17001666,0.14
17001667,0.221
17001668,0.181
17001669,0.183
17001670,0.184
17001671,0.144
17001672,0.213
17001673,0.178
17001674,0.164
17001690,0.193
17001691,0.127
17001696,0.232
17001697,0.189
17001698,0.148
17001699,0.167
17001704,0.138
17001543,0.0
17001544,0.0
17001547,0.0
17001548,0.0
17001575,0.0
17001576,0.0
17001580,0.0
17001607,0.0
17001612,0.0
17001637,0.0
17001638,0.0
17001675,0.0
17001676,0.0
17001677,0.0
17001678,0.0
17001685,0.0
17001686,0.0
17001687,0.0
17001688,0.0
17001689,0.0
17001692,0.0
17001693,0.0
17001694,0.0
17001695,0.0
17001700,0.0
17001701,0.0
17001702,0.0
17001703,0.0
17001705,0.0
17001706,0.0
17001707,0.0
17001708,0.0
17001709,0.0
17001710,0.0
17001545,0.123
17001546,0.084
17001577,0.115
17001578,0.146
17001579,0.091
17001608,0.126
17001609,0.101
17001610,0.11
17001611,0.122
17001639,0.116
17001640,0.071
17001679,0.098
17001680,0.204
17001683,0.117
17001684,0.193
17001711,0.202
17001712,0.138
17001715,0.21
17001716,0.172
17001717,0.154
17001718,0.218
17001719,0.146
17001720,0.184
17001721,0.149
17001722,0.099
17001723,0.18
17001724,0.177
17001725,0.18
17001726,0.216
17001727,0.212
17001728,0.22
17001729,0.109
17001730,0.204
17001731,0.172
17001732,0.159
17001733,0.17
17001734,0.187
17001735,0.123
17001736,0.143
17001737,0.2
17001738,0.169
17001739,0.155
17001740,0.122
17001741,0.12
17001742,0.162
17001743,0.146
17001744,0.144
17001745,0.165
17001746,0.113
17001747,0.165
17001748,0.175
17001749,0.235
17001750,0.202
17001751,0.196
17001752,0.145
17001753,0.175
17001754,0.202
17001755,0.367
17001756,0.2
17001757,0.235
17001758,0.185
17001759,0.181
17001760,0.231
17001761,0.263
17001762,0.186
17001763,0.238
17001764,0.18
17001765,0.177
17001766,0.188
17001767,0.197
17001768,0.137
17001769,0.155
17001770,0.188
17001771,0.215
17001772,0.178
17001773,0.181
17001774,0.2
17001775,0.162
17001681,0.138
17001682,0.154
17001713,0.145
17001714,0.111
17001940,1.418
17001941,0.752
17001942,0.55
17001943,0.644
17001944,0.437
17001945,0.163
17001946,0.116
17001951,0.083
17001952,0.107
17001953,0.457
17001954,1.068
17001955,0.72
17001956,1.318
17001957,1.709
17001958,2.839
17001959,0.785
17001960,0.21
17001961,0.391
17001962,0.278
17001963,0.72
17001964,0.736
17001965,2.015
17001966,1.682
17001967,0.733
17001968,0.704
17001969,0.364
17001970,0.147
17001971,0.07
17001972,0.065
